id,ordinamento,nome_italiano,nome_inglese,prezzo,prezzo_asporto,asporto,solo_asporto,photo,descrizione_italiano,descrizione_inglese,show_desc,surgelato,allergeni,id_categoria_menu,enable,created_at,updated_at
14,11,amatriciana,amatriciana,10.0,,0,0,,,"pasta with tomato sauce, guanciale and pecorino cheese",0,0,"[""5"", ""4"", ""13""]",3,1,2024-07-30 20:49:39,2024-08-20 12:01:40
15,12,cacio e pepe,cacio e pepe,10.0,,0,0,,,pasta with pecorino cheese and parmesan cream ,0,0,"[""4"", ""5""]",3,1,2024-07-30 20:50:36,2024-08-20 12:01:40
16,13,rigatoni al sugo di coda,sugo di coda,13.0,,0,0,,,"pasta with tomato sauce, cow meat and pecorino cheese ",0,0,"[""4"", ""5"", ""11""]",3,1,2024-07-30 20:51:56,2024-08-20 12:01:40
17,14,involtini in umido ,involtini in umido ,15.0,,0,0,,involtini di manzo ripieni di guanciale e pecorino cotti nel pomodoro,"stewed meat rolls stuffed with pecorino cheese and guanciale, tomato sauce)",0,0,"[""4"", ""5"", ""11"", ""13""]",4,1,2024-07-30 21:03:58,2024-10-18 18:22:31
18,15,coniglio ripieno ,coniglio ripieno,18.0,,0,0,,coniglio disossato ripieno di salsiccia,Rubbit filled with pork sausage,0,0,"[""3"", ""5"", ""11"", ""13""]",4,1,2024-07-30 21:07:30,2024-08-05 08:48:09
19,16,tagliata di manzo ,Steak beef,23.0,,0,0,,300gm ,300gm,0,0,"[""13""]",4,1,2024-07-30 21:10:10,2024-08-05 08:48:09
20,17,filetto di manzo,beef fillet ,24.0,,0,0,,250gm ,250gm,0,0,"[""13""]",4,1,2024-07-30 21:10:59,2024-08-05 08:48:09
21,18,patate al forno ,roasted potatoes ,6.0,,0,0,,,,0,0,[],5,1,2024-07-30 21:13:05,2024-08-20 12:01:48
22,19,cicoria,chicory ,6.0,,0,0,,,,0,0,[],5,1,2024-07-30 21:13:44,2024-08-20 12:01:40
23,20,verdure grigliate ,zucchini and eggplants grilled ,6.0,,0,0,,melanzane e zucchine ,,0,0,[],5,1,2024-07-30 21:14:25,2024-08-20 12:01:40
25,24,tiramisu,tiramisu ,6.0,,0,0,,,,0,0,"[""5"", ""14"", ""4"", ""13""]",10,0,2024-07-30 21:17:17,2024-10-16 17:27:50
26,25,brownie con gelato,brownie with ice cream ,6.0,5.0,1,0,,,,0,0,"[""1"", ""3"", ""4"", ""5"", ""14""]",10,1,2024-07-30 21:18:50,2024-10-15 17:36:16
